DATE,CBBTCUSD,SP500
2019-12-05,7388.75,3117.43
2019-12-06,7560.76,3145.91
2019-12-09,7332.69,3135.96
2019-12-10,7215.69,3132.52
2019-12-11,7275.17,3141.63
2019-12-12,7194.19,3168.57
2019-12-13,7249.25,3168.8
2019-12-16,6877.04,3191.45
2019-12-17,6618.62,3192.52
2019-12-18,7309.12,3191.14
2019-12-19,7153.99,3205.37
2019-12-20,7189.87,3221.22
2019-12-23,7318.18,3224.01
2019-12-24,7259.87,3223.38
2019-12-25,7194.76,3231.645
2019-12-26,7195.0,3239.91
2019-12-27,7247.35,3240.02
2019-12-30,7191.0,3221.29
2019-12-31,7158.01,3230.78
2020-01-01,7174.32,3244.315
2020-01-02,6945.01,3257.85
2020-01-03,7335.54,3234.85
2020-01-06,7773.48,3246.28
2020-01-07,8169.95,3237.18
2020-01-08,8035.08,3253.05
2020-01-09,7813.78,3274.7
2020-01-10,8183.89,3265.35
2020-01-13,8109.62,3288.13
2020-01-14,8757.18,3283.15
2020-01-15,8831.86,3289.29
2020-01-16,8727.22,3316.81
2020-01-17,8875.81,3329.62
2020-01-20,8633.67,3322.9976
2020-01-21,8730.0,3320.79
2020-01-22,8665.0,3321.75
2020-01-23,8386.63,3325.54
2020-01-24,8424.96,3295.47
2020-01-27,8903.24,3243.63
2020-01-28,9417.64,3276.24
2020-01-29,9270.0,3273.4
2020-01-30,9493.61,3283.66
2020-01-31,9343.28,3225.52
2020-02-03,9282.29,3248.92
2020-02-04,9158.57,3297.59
2020-02-05,9623.44,3334.69
2020-02-06,9765.96,3345.78
2020-02-07,9804.98,3327.71
2020-02-10,9854.5,3352.09
2020-02-11,10279.99,3357.75
2020-02-12,10344.01,3379.45
2020-02-13,10239.57,3373.94
2020-02-14,10380.0,3380.16
2020-02-17,9711.95,3372.7576
2020-02-18,10191.51,3370.29
2020-02-19,9591.54,3386.15
2020-02-20,9610.05,3373.23
2020-02-21,9697.01,3337.75
2020-02-24,9668.08,3225.89
2020-02-25,9301.01,3128.21
2020-02-26,8776.01,3116.39
2020-02-27,8816.71,2978.76
2020-02-28,8713.16,2954.22
2020-03-02,8923.52,3090.23
2020-03-03,8769.67,3003.37
2020-03-04,8765.0,3130.12
2020-03-05,9053.56,3023.94
2020-03-06,9162.98,2972.37
2020-03-09,7945.03,2746.56
2020-03-10,7887.01,2882.23
2020-03-11,7957.02,2741.38
2020-03-12,4980.0,2480.64
2020-03-13,5592.77,2711.02
2020-03-16,5074.2,2386.13
2020-03-17,5361.77,2529.19
2020-03-18,5426.71,2398.1
2020-03-19,6219.99,2409.39
2020-03-20,6215.4,2304.92
2020-03-23,6583.38,2237.4
2020-03-24,6742.21,2447.33
2020-03-25,6752.83,2475.56
2020-03-26,6772.2,2630.07
2020-03-27,6320.46,2541.47
2020-03-30,6401.26,2626.65
2020-03-31,6434.73,2584.59
2020-04-01,6719.39,2470.5
2020-04-02,6789.84,2526.9
2020-04-03,6727.99,2488.65
2020-04-06,7320.07,2663.68
2020-04-07,7204.58,2659.41
2020-04-08,7343.65,2749.98
2020-04-09,7294.69,2789.82
2020-04-10,6892.54,2782.7725
2020-04-13,6871.0,2761.63
2020-04-14,6865.72,2846.06
2020-04-15,6576.76,2783.36
2020-04-16,7123.29,2799.55
2020-04-17,7055.22,2874.56
2020-04-20,6832.57,2823.16
2020-04-21,6845.0,2736.56
2020-04-22,7143.99,2799.31
2020-04-23,7479.06,2797.8
2020-04-24,7514.64,2836.74
2020-04-27,7773.0,2878.48
2020-04-28,7774.39,2863.39
2020-04-29,8789.1,2939.51
2020-04-30,8652.3,2912.43
2020-05-01,8813.9,2830.71
2020-05-04,8900.29,2842.74
